genre,title
Drama,The Shawshank Redemption
"Crime,Drama",The Godfather
"Action,Crime,Drama",The Dark Knight
"Crime,Drama",The Godfather Part II
Drama,The Grapes of Wrath
"Drama,Family",My Father and My Son
"Crime,Drama,Mystery",Jai Bhim
"Drama,War",The Battle of Algiers
"Biography,Drama,Family",Hachi: A Dog's Tale
"Adventure,Drama,Western",Dances with Wolves
"Adventure,Biography,Drama",Dersu Uzala
"Animation,Adventure,Comedy",Aladdin
Drama,The Help
"Animation,Action,Adventure",The Iron Giant
Comedy,Life of Brian
"Drama,Thriller",Persona
"Comedy,Romance",It Happened One Night
"Crime,Drama",The 400 Blows
"Biography,Drama,Family",The Sound of Music
"Crime,Drama",Cool Hand Luke
"Drama,Romance,Thriller",The Handmaiden
"Drama,Film-Noir,Mystery",Rebecca
"Drama,Thriller",Amores Perros
Drama,Pather Panchali
"Action,Adventure,Fantasy",Pirates of the Caribbean: The Curse of the Black Pearl
"Crime,Drama",La haine
"Comedy,Romance,War",To Be or Not to Be
"Animation,Action,Adventure",The Incredibles
"Comedy,Drama,Fantasy",Groundhog Day
Horror,The Exorcist
"Drama,Romance,War",The Best Years of Our Lives
"Adventure,Family,Fantasy",The Wizard of Oz
"Adventure,Biography,Drama",Into the Wild
"Drama,Romance",Before Sunset
Drama,Network
"Action,Biography,Drama",Rush
"Adventure,Drama",Stand by Me
"Action,Sci-Fi",The Terminator
"Action,Drama,Sci-Fi",Logan
"Biography,Crime,Drama",Spotlight
"Animation,Adventure,Comedy",Ratatouille
"Drama,War",Platoon
"Drama,Sport",Rocky
"Biography,Drama,History",Hotel Rwanda
"Action,Biography,Drama",Ford v Ferrari
"Biography,Drama,History",The Passion of Joan of Arc
Drama,Tokyo Story
"Comedy,Crime",The Big Lebowski
"Drama,Thriller",Room
"Adventure,Thriller",Jaws
"Comedy,Drama",Dead Poets Society
"Animation,Adventure,Comedy","Monsters, Inc."
"Animation,Action,Adventure",How to Train Your Dragon
"Drama,Fantasy",The Seventh Seal
"Animation,Comedy,Drama",Mary and Max
"Action,Adventure,Sci-Fi",Mad Max: Fury Road
"Comedy,Drama",Mr. Smith Goes to Washington
"Action,Comedy,Romance",Sherlock Jr.
"Comedy,Drama,Thriller",Wild Tales
"Crime,Drama,Mystery",Memories of Murder
"Adventure,Drama,Thriller",The Wages of Fear
"Biography,Drama,History",Hacksaw Ridge
"Film-Noir,Mystery,Thriller",The Third Man
"Drama,War",The Deer Hunter
"Biography,Crime,Drama",In the Name of the Father
